batch,epoch,r2,infer_time,mean_error,y,yfilter,u,uf
,,,,,-0.87598664,-0.8991161824402317,0.7340083,-0.012353063
,,,,,-0.8756455,-0.898732887240386,0.7340118,-0.0123793
,,,,,-0.8753044,-0.898349850976874,0.73397845,-0.012405725
,,,,,-0.87496334,-0.8979671026811771,0.7339846,-0.012431946
,,,,,-0.8746222,-0.8975844902757427,0.7339903,-0.01245817
,,,,,-0.8742811,-0.8972021115687389,0.7339955,-0.012484398
,,,,,-0.87394005,-0.8968199941113983,0.73400027,-0.012510622
,,,,,-0.87359893,-0.8964380683520059,0.73400444,-0.012536852
,,,,,-0.8732578,-0.8960563594896932,0.73400813,-0.012563091
,,,,,-0.87291676,-0.8956749173607985,0.73401123,-0.012589324
,,,,,-0.87257564,-0.8952936581661909,0.7340138,-0.0126155615
,,,,,-0.8722345,-0.8949126118971396,0.7340159,-0.012641804
,,,,,-0.87189347,-0.8945318920589314,0.7339448,-0.012668425
,,,,,-0.87155235,-0.8941513791704012,0.7339534,-0.012694636
,,,,,-0.87121123,-0.893770954926803,0.7339619,-0.012720846
,,,,,-0.8708702,-0.8933908099080906,0.73397,-0.012747051
,,,,,-0.8705291,-0.8930254808159569,0.7175621,-0.012858305
,,,,,-0.87018824,-0.8927102702240372,0.6699635,-0.0131311305
,,,,,-0.86984783,-0.8924594952571351,0.594808,-0.013546685
,,,,,-0.8695081,-0.8922660078326978,0.49550182,-0.014087299
,,,,,-0.8691694,-0.8921245449731353,0.37570295,-0.014734004
,,,,,-0.86883223,-0.8920269404767105,0.23895533,-0.0154683925
,,,,,-0.868497,-0.8919661382390885,0.08864806,-0.01627288
,,,,,-0.8681641,-0.8919347180021636,-0.07180139,-0.017129729
,,,,,-0.86783415,-0.8919257831331242,-0.23921664,-0.018022442
,,,,,-0.86750764,-0.8919328820976893,-0.41061354,-0.018935518
,,,,,-0.86718494,-0.8919499482212848,-0.583298,-0.019854968
,,,,,-0.8668667,-0.8919715958089883,-0.7546606,-0.020767229
